,A,B
531,COL17A1,ITGA10
532,COL18A1,ITGA10
533,COL19A1,ITGA10
534,COL1A1,ITGA10
535,COL1A2,ITGA10
536,COL20A1,ITGA10
537,COL21A1,ITGA10
538,COL22A1,ITGA10
539,COL24A1,ITGA10
540,COL26A1,ITGA10
541,COL27A1,ITGA10
542,COL28A1,ITGA10
543,COL2A1,ITGA10
544,COL3A1,ITGA10
545,COL4A1,ITGA10
546,COL4A2,ITGA10
547,COL4A3,ITGA10
548,COL4A4,ITGA10
549,COL4A5,ITGA10
550,COL4A6,ITGA10
551,COL5A1,ITGA10
552,COL5A2,ITGA10
553,COL5A3,ITGA10
554,COL6A1,ITGA10
555,COL6A2,ITGA10
556,COL6A3,ITGA10
557,COL6A5,ITGA10
558,COL6A6,ITGA10
559,COL7A1,ITGA10
560,COL8A1,ITGA10
561,COL8A2,ITGA10
562,COL9A1,ITGA10
563,COL9A2,ITGA10
564,COL9A3,ITGA10
565,SEMA7A,ITGB1
566,SEMA7A,ITGA1
567,COL10A1,ITGA1
568,COL11A1,ITGA1
569,COL11A2,ITGA1
570,COL12A1,ITGA1
571,COL13A1,ITGA1
572,COL14A1,ITGA1
573,COL15A1,ITGA1
574,COL16A1,ITGA1
575,COL17A1,ITGA1
576,COL18A1,ITGA1
577,COL19A1,ITGA1
578,COL1A1,ITGA1
579,COL1A2,ITGA1
580,COL20A1,ITGA1
581,COL21A1,ITGA1
582,COL22A1,ITGA1
583,COL24A1,ITGA1
584,COL26A1,ITGA1
585,COL27A1,ITGA1
586,COL28A1,ITGA1
587,COL2A1,ITGA1
588,COL3A1,ITGA1
589,COL4A1,ITGA1
590,COL4A2,ITGA1
591,COL4A3,ITGA1
592,COL4A4,ITGA1
593,COL4A5,ITGA1
594,COL4A6,ITGA1
595,COL5A1,ITGA1
596,COL5A2,ITGA1
597,COL5A3,ITGA1
598,COL6A1,ITGA1
599,COL6A2,ITGA1
600,COL6A3,ITGA1
601,COL6A5,ITGA1
602,COL6A6,ITGA1
603,COL7A1,ITGA1
604,COL8A1,ITGA1
605,COL8A2,ITGA1
606,COL9A1,ITGA1
607,COL9A2,ITGA1
608,COL9A3,ITGA1
609,IL11,IL11RA
610,IL11,IL6ST
611,IL6,IL6R
612,IL6,IL6ST
613,LIF,LIFR
614,LIF,IL6ST
615,OSM,LIFR
616,OSM,IL6ST
617,CTF1,LIFR
618,CTF1,IL6ST
619,OSM,OSMR
620,IL5,CSF2RB
621,IL5,IL5RA
622,IL13,IL13RA1
623,IL13,IL4R
624,IL4,IL2RG
625,IL4,IL4R
626,IL21,IL21R
627,IL21,IL2RG
628,IL7,IL7R
629,IL7,IL2RG
630,IL9,IL9R
631,IL9,IL2RG
632,IL15,IL15RA
633,IL15,IL2RB
634,IL15,IL2RG
635,IL2,IL2RA
636,IL2,IL2RB
637,IL2,IL2RG
638,IL19,IL20RA
639,IL19,IL20RB
640,IL20,IL20RA
641,IL20,IL20RB
642,IL24,IL20RA
643,IL24,IL20RB
644,IL20,IL22RA1
645,IL24,IL22RA1
646,IL1A,IL1R1
647,IL1A,IL1RAP
648,IL1B,IL1R1
649,IL1B,IL1RAP
650,IL1A,IL1R2
651,IL1B,IL1R2
652,IL33,IL1RL1
653,IL33,IL1RAP
654,IL36A,IL1RL2
655,IL36A,IL1RAP
656,IL36B,IL1RL2
657,IL36B,IL1RAP
658,IL36G,IL1RL2
659,IL36G,IL1RAP
660,IL18,IL18R1
661,IL18,IL18RAP
662,IL17C,IL17RA
663,IL17C,IL17RE
664,IL17A,IL17RA
665,IL17A,IL17RC
666,IL17F,IL17RA
667,IL17F,IL17RC
668,IL10,IL10RA
669,IL10,IL10RB
670,IL26,IL20RA
671,IL26,IL10RB
672,IL22,IL22RA1
673,IL22,IL10RB
674,IFNL1,IL10RB
675,IFNL1,IFNLR1
676,IFNL2,IL10RB
677,IFNL2,IFNLR1
678,IFNL3,IL10RB
679,IFNL3,IFNLR1
680,IFNG,IFNGR1
681,IFNG,IFNGR2
682,IFNK,IFNAR1
683,IFNK,IFNAR2
684,IFNA1,IFNAR1
685,IFNA1,IFNAR2
686,IFNA10,IFNAR1
687,IFNA10,IFNAR2
688,IFNA14,IFNAR1
689,IFNA14,IFNAR2
690,IFNA16,IFNAR1
691,IFNA16,IFNAR2
692,IFNA17,IFNAR1
693,IFNA17,IFNAR2
694,IFNA2,IFNAR1
695,IFNA2,IFNAR2
696,IFNA21,IFNAR1
697,IFNA21,IFNAR2
698,IFNA4,IFNAR1
699,IFNA4,IFNAR2
700,IFNA5,IFNAR1
701,IFNA5,IFNAR2
702,IFNA6,IFNAR1
703,IFNA6,IFNAR2
704,IFNA7,IFNAR1
705,IFNA7,IFNAR2
706,IFNA8,IFNAR1
707,IFNA8,IFNAR2
708,IFNB1,IFNAR1
709,IFNB1,IFNAR2
710,IFNW1,IFNAR1
711,IFNW1,IFNAR2
712,IFNE,IFNAR1
713,IFNE,IFNAR2
714,MICA,KLRK1
715,MICA,HCST
716,MICB,KLRK1
717,MICB,HCST
718,ULBP1,KLRK1
719,ULBP1,HCST
720,ULBP2,KLRK1
721,ULBP2,HCST
722,ULBP3,KLRK1
723,ULBP3,HCST
724,RAET1E,KLRK1
725,RAET1E,HCST
726,PSPN,RET
727,PSPN,GFRA4
728,ARTN,RET
729,ARTN,GFRA3
730,GDNF,RET
731,GDNF,GFRA2
732,NRTN,RET
733,NRTN,GFRA2
734,ARTN,GFRA1
735,GDNF,GFRA1
736,NRTN,GFRA1
737,EGF,ERBB2
738,EGF,ERBB4
739,BTC,ERBB2
740,BTC,ERBB3
741,EGF,ERBB3
742,NRG1,ERBB3
743,NRG1,ERBB2
744,NRG1,ERBB4
745,NRG2,ERBB4
746,NRG2,ERBB2
747,NRG3,ERBB4
748,NRG3,ERBB2
749,SEMA4D,ERBB2
750,CSF2,CSF2RA
751,CSF2,CSF2RB
752,EPO,EPOR
