,A,B
2014,CXCL12,DPP4
2015,CXCL2,DPP4
2016,CXCL5,CXCR1
2017,CXCL9,DPP4
2018,CCK,CCKAR
2019,CCK,CCKBR
2020,CEL,RORA
2021,CEL,RORC
2022,LIPA,RORA
2023,LIPA,RORC
2024,DHCR24,RORA
2025,DHCR24,RORC
2026,DHCR7,NR1H2
2027,DHCR7,NR1H3
2028,DHCR7,RORA
2029,DHCR7,RORC
2030,SLC10A4,CHRM1
2031,SLC10A4,CHRM2
2032,SLC10A4,CHRM3
2033,SLC10A4,CHRM4
2034,SLC10A4,CHRM5
2035,CHAT,CHRNB1
2036,CHAT,CHRND
2037,CHAT,CHRNE
2038,SLC10A4,CHRNA1
2039,SLC10A4,CHRNB1
2040,SLC10A4,CHRND
2041,SLC10A4,CHRNE
2042,CHAT,CHRNG
2043,SLC10A4,CHRNG
2044,SLC10A4,CHRNA3
2045,SLC10A4,CHRNB4
2046,SLC10A4,CHRNA4
2047,SLC10A4,CHRNB2
2048,SLC10A4,CHRNA7
2049,SLC18A3,CHRM1
2050,SLC18A3,CHRM2
2051,SLC18A3,CHRM3
2052,SLC18A3,CHRM4
2053,SLC18A3,CHRM5
2054,SLC18A3,CHRNA1
2055,SLC18A3,CHRNB1
2056,SLC18A3,CHRND
2057,SLC18A3,CHRNE
2058,SLC18A3,CHRNG
2059,SLC18A3,CHRNA3
2060,SLC18A3,CHRNB4
2061,SLC18A3,CHRNA4
2062,SLC18A3,CHRNB2
2063,SLC18A3,CHRNA7
2064,SLC5A7,CHRM1
2065,SLC5A7,CHRM2
2066,SLC5A7,CHRM3
2067,SLC5A7,CHRM4
2068,SLC5A7,CHRM5
2069,SLC5A7,CHRNA1
2070,SLC5A7,CHRNB1
2071,SLC5A7,CHRND
2072,SLC5A7,CHRNE
2073,SLC5A7,CHRNG
2074,SLC5A7,CHRNA3
2075,SLC5A7,CHRNB4
2076,SLC5A7,CHRNA4
2077,SLC5A7,CHRNB2
2078,SLC5A7,CHRNA7
2079,CGA,LHCGR
2080,CGB1,LHCGR
2081,CGB2,LHCGR
2082,CGB3,LHCGR
2083,CGB7,LHCGR
2084,CGA,FSHR
2085,FSHB,FSHR
2086,LHB,LHCGR
2087,CGA,TSHR
2088,TSHB,TSHR
2089,C10orf99,GPR15
2090,C10orf99,SUSD2
2091,C4A,C5AR2
2092,C5,C5AR1
2093,C5,C5AR2
2094,CRH,CRHR1
2095,CRH,CRHR2
2096,SULT1A1,PPARA
2097,SULT1A1,PPARD
2098,SULT1A1,PPARG
2099,SULT1E1,PPARA
2100,SULT1E1,PPARD
2101,SULT1E1,PPARG
2102,SULT2A1,PPARA
2103,SULT2A1,PPARD
2104,SULT2A1,PPARG
2105,UBASH3B,ESR1
2106,UBASH3B,NR1I2
2107,UBASH3B,PPARA
2108,DHH,BOC
2109,DHH,PTCH1
2110,DHH,CDON
2111,DHH,GAS1
2112,DHRS9,PGR
2113,TYR,GPR143
2114,ENTPD1,ADORA1
2115,ENTPD1,ADORA2A
2116,ENTPD1,ADORA2B
2117,ENTPD1,ADORA3
2118,HSD17B1,ESR1
2119,HSD17B1,ESR2
2120,HSD17B1,GPER1
2121,HSD17B1,NR1I2
2122,FGF19,KLB
2123,FGF21,FGFR4
2124,FGF21,KLB
2125,FGF23,KL
2126,GAD1,GABBR1
2127,SLC32A1,GABBR1
2128,GAD1,GABBR2
2129,SLC32A1,GABBR2
2130,GAD1,GABRA1
2131,GAD1,GABRB2
2132,SLC32A1,GABRA1
2133,SLC32A1,GABRB2
2134,GAD1,GABRD
2135,SLC32A1,GABRD
2136,GAD1,GABRG2
2137,SLC32A1,GABRG2
2138,GAD1,GABRB3
2139,SLC32A1,GABRB3
2140,GAD1,GABRA2
2141,SLC32A1,GABRA2
2142,GAD1,GABRA3
2143,GAD1,GABRE
2144,SLC32A1,GABRA3
2145,SLC32A1,GABRE
2146,GAD1,GABRQ
2147,SLC32A1,GABRQ
2148,GAD1,GABRA4
2149,SLC32A1,GABRA4
2150,GAD1,GABRA5
2151,SLC32A1,GABRA5
2152,GAD1,GABRA6
2153,SLC32A1,GABRA6
2154,SLC6A1,GABBR1
2155,SLC6A1,GABBR2
2156,SLC6A1,GABRA1
2157,SLC6A1,GABRB2
2158,SLC6A1,GABRD
2159,SLC6A1,GABRG2
2160,SLC6A1,GABRB3
2161,SLC6A1,GABRA2
2162,SLC6A1,GABRA3
2163,SLC6A1,GABRE
2164,SLC6A1,GABRQ
2165,SLC6A1,GABRA4
2166,SLC6A1,GABRA5
2167,SLC6A1,GABRA6
2168,SLC6A11,GABBR1
2169,SLC6A11,GABBR2
2170,SLC6A11,GABRA1
2171,SLC6A11,GABRB2
2172,SLC6A11,GABRD
2173,SLC6A11,GABRG2
2174,SLC6A11,GABRB3
2175,SLC6A11,GABRA2
2176,SLC6A11,GABRA3
2177,SLC6A11,GABRE
2178,SLC6A11,GABRQ
2179,SLC6A11,GABRA4
2180,SLC6A11,GABRA5
2181,SLC6A11,GABRA6
2182,SLC6A12,GABBR1
2183,SLC6A12,GABBR2
2184,SLC6A12,GABRA1
2185,SLC6A12,GABRB2
2186,SLC6A12,GABRD
2187,SLC6A12,GABRG2
2188,SLC6A12,GABRB3
2189,SLC6A12,GABRA2
2190,SLC6A12,GABRA3
2191,SLC6A12,GABRE
2192,SLC6A12,GABRQ
2193,SLC6A12,GABRA4
2194,SLC6A12,GABRA5
2195,SLC6A12,GABRA6
2196,SLC6A13,GABBR1
2197,SLC6A13,GABBR2
2198,SLC6A13,GABRA1
2199,SLC6A13,GABRB2
2200,SLC6A13,GABRD
2201,SLC6A13,GABRG2
2202,SLC6A13,GABRB3
2203,SLC6A13,GABRA2
2204,SLC6A13,GABRA3
2205,SLC6A13,GABRE
2206,SLC6A13,GABRQ
2207,SLC6A13,GABRA4
2208,SLC6A13,GABRA5
2209,SLC6A13,GABRA6
2210,SLC6A6,GABBR1
2211,SLC6A6,GABBR2
2212,SLC6A6,GABRA1
2213,SLC6A6,GABRB2
2214,SLC6A6,GABRD
2215,SLC6A6,GABRG2
2216,SLC6A6,GABRB3
2217,SLC6A6,GABRA2
2218,SLC6A6,GABRA3
2219,SLC6A6,GABRE
2220,SLC6A6,GABRQ
2221,SLC6A6,GABRA4
2222,SLC6A6,GABRA5
2223,SLC6A6,GABRA6
2224,SLC6A8,GABBR1
2225,SLC6A8,GABBR2
2226,SLC6A8,GABRA1
2227,SLC6A8,GABRB2
2228,SLC6A8,GABRD
2229,SLC6A8,GABRG2
2230,SLC6A8,GABRB3
2231,SLC6A8,GABRA2
2232,SLC6A8,GABRA3
2233,SLC6A8,GABRE
2234,SLC6A8,GABRQ
2235,SLC6A8,GABRA4
2236,SLC6A8,GABRA5
2237,SLC6A8,GABRA6
2238,GAD2,GABBR1
2239,GAD2,GABBR2
2240,GAD2,GABRA1
2241,GAD2,GABRB2
2242,GAD2,GABRD
2243,GAD2,GABRG2
2244,GAD2,GABRB3
2245,GAD2,GABRA2
2246,GAD2,GABRA3
2247,GAD2,GABRE
2248,GAD2,GABRQ
2249,GAD2,GABRA4
2250,GAD2,GABRA5
2251,GAD2,GABRA6
2252,GAL,GALR1
2253,GAL,GPR151
2254,GAL,GALR3
2255,GALP,GALR1
2256,GALP,GPR151
2257,GALP,GALR2
2258,GALP,GALR3
2259,LGALS3,MERTK
2260,LGALS9,BCR
2261,LGALS9,CD22
2262,LGALS9,PTPRC
2263,LGALS9,P4HB
2264,GAST,ADGRG1
2265,GAST,CCKAR
2266,GIP,GIPR
2267,GLS,GRIA1
2268,SLC17A6,GRIA1
2269,GLS,GRIA2
2270,SLC17A6,GRIA2
2271,GLS,GRIA3
2272,SLC17A6,GRIA3
2273,GLS,GRIA4
2274,SLC17A6,GRIA4
2275,GLS,GRIK1
2276,SLC17A6,GRIK1
2277,GLS,GRIK4
2278,SLC17A6,GRIK4
2279,GLS,GRIK5
2280,SLC17A6,GRIK5
2281,GLS,GRIK2
2282,SLC17A6,GRIK2
2283,GLS,GRIK3
2284,SLC17A6,GRIK3
2285,GLS,GRIN1
2286,GLS,GRIN2A
2287,SLC17A6,GRIN1
2288,SLC17A6,GRIN2A
2289,GLS,GRIN2B
2290,SLC17A6,GRIN2B
2291,GLS,GRIN2C
2292,SLC17A6,GRIN2C
2293,GLS,GRIN2D
2294,SLC17A6,GRIN2D
2295,GLS,GRM1
2296,SLC17A6,GRM1
2297,GLS,GRM2
2298,SLC17A6,GRM2
2299,GLS,GRM3
2300,SLC17A6,GRM3
2301,GLS,GRM4
2302,SLC17A6,GRM4
2303,GLS,GRM5
2304,SLC17A6,GRM5
2305,GLS,GRM6
2306,SLC17A6,GRM6
2307,GLS,GRM7
2308,SLC17A6,GRM7
2309,GLS,GRM8
2310,SLC17A6,GRM8
2311,SLC17A7,GRIA1
2312,SLC17A7,GRIA2
2313,SLC17A7,GRIA3
2314,SLC17A7,GRIA4
2315,SLC17A7,GRIK1
2316,SLC17A7,GRIK4
2317,SLC17A7,GRIK5
2318,SLC17A7,GRIK2
2319,SLC17A7,GRIK3
2320,SLC17A7,GRIN1
2321,SLC17A7,GRIN2A
2322,SLC17A7,GRIN2B
2323,SLC17A7,GRIN2C
2324,SLC17A7,GRIN2D
2325,SLC17A7,GRM1
2326,SLC17A7,GRM2
2327,SLC17A7,GRM3
2328,SLC17A7,GRM4
2329,SLC17A7,GRM5
2330,SLC17A7,GRM6
2331,SLC17A7,GRM7
2332,SLC17A7,GRM8
2333,SLC17A8,GRIA1
2334,SLC17A8,GRIA2
2335,SLC17A8,GRIA3
2336,SLC17A8,GRIA4
2337,SLC17A8,GRIK1
2338,SLC17A8,GRIK4
2339,SLC17A8,GRIK5
2340,SLC17A8,GRIK2
2341,SLC17A8,GRIK3
2342,SLC17A8,GRIN1
2343,SLC17A8,GRIN2A
2344,SLC17A8,GRIN2B
2345,SLC17A8,GRIN2C
2346,SLC17A8,GRIN2D
2347,SLC17A8,GRM1
2348,SLC17A8,GRM2
2349,SLC17A8,GRM3
2350,SLC17A8,GRM4
2351,SLC17A8,GRM5
2352,SLC17A8,GRM6
2353,SLC17A8,GRM7
2354,SLC17A8,GRM8
2355,SLC1A1,GRIA1
2356,SLC1A1,GRIA2
2357,SLC1A1,GRIA3
2358,SLC1A1,GRIA4
2359,SLC1A1,GRIK1
2360,SLC1A1,GRIK4
2361,SLC1A1,GRIK5
2362,SLC1A1,GRIK2
2363,SLC1A1,GRIK3
2364,SLC1A1,GRIN1
2365,SLC1A1,GRIN2A
2366,SLC1A1,GRIN2B
2367,SLC1A1,GRIN2C
2368,SLC1A1,GRIN2D
2369,SLC1A1,GRM1
2370,SLC1A1,GRM2
2371,SLC1A1,GRM3
2372,SLC1A1,GRM4
2373,SLC1A1,GRM5
2374,SLC1A1,GRM6
2375,SLC1A1,GRM7
2376,SLC1A1,GRM8
2377,SLC1A2,GRIA1
2378,SLC1A2,GRIA2
2379,SLC1A2,GRIA3
2380,SLC1A2,GRIA4
2381,SLC1A2,GRIK1
2382,SLC1A2,GRIK4
2383,SLC1A2,GRIK5
2384,SLC1A2,GRIK2
2385,SLC1A2,GRIK3
2386,SLC1A2,GRIN1
2387,SLC1A2,GRIN2A
2388,SLC1A2,GRIN2B
2389,SLC1A2,GRIN2C
2390,SLC1A2,GRIN2D
2391,SLC1A2,GRM1
2392,SLC1A2,GRM2
2393,SLC1A2,GRM3
2394,SLC1A2,GRM4
2395,SLC1A2,GRM5
2396,SLC1A2,GRM6
2397,SLC1A2,GRM7
2398,SLC1A2,GRM8
2399,SLC1A3,GRIA1
2400,SLC1A3,GRIA2
2401,SLC1A3,GRIA3
2402,SLC1A3,GRIA4
2403,SLC1A3,GRIK1
2404,SLC1A3,GRIK4
2405,SLC1A3,GRIK5
2406,SLC1A3,GRIK2
2407,SLC1A3,GRIK3
2408,SLC1A3,GRIN1
2409,SLC1A3,GRIN2A
2410,SLC1A3,GRIN2B
2411,SLC1A3,GRIN2C
2412,SLC1A3,GRIN2D
2413,SLC1A3,GRM1
2414,SLC1A3,GRM2
2415,SLC1A3,GRM3
2416,SLC1A3,GRM4
2417,SLC1A3,GRM5
2418,SLC1A3,GRM6
2419,SLC1A3,GRM7
2420,SLC1A3,GRM8
2421,SLC1A6,GRIA1
2422,SLC1A6,GRIA2
2423,SLC1A6,GRIA3
2424,SLC1A6,GRIA4
2425,SLC1A6,GRIK1
2426,SLC1A6,GRIK4
2427,SLC1A6,GRIK5
2428,SLC1A6,GRIK2
2429,SLC1A6,GRIK3
2430,SLC1A6,GRIN1
2431,SLC1A6,GRIN2A
2432,SLC1A6,GRIN2B
2433,SLC1A6,GRIN2C
2434,SLC1A6,GRIN2D
2435,SLC1A6,GRM1
2436,SLC1A6,GRM2
2437,SLC1A6,GRM3
2438,SLC1A6,GRM4
2439,SLC1A6,GRM5
2440,SLC1A6,GRM6
2441,SLC1A6,GRM7
2442,SLC1A6,GRM8
2443,SLC1A7,GRIA1
2444,SLC1A7,GRIA2
2445,SLC1A7,GRIA3
2446,SLC1A7,GRIA4
2447,SLC1A7,GRIK1
2448,SLC1A7,GRIK4
2449,SLC1A7,GRIK5
2450,SLC1A7,GRIK2
2451,SLC1A7,GRIK3
2452,SLC1A7,GRIN1
2453,SLC1A7,GRIN2A
2454,SLC1A7,GRIN2B
2455,SLC1A7,GRIN2C
2456,SLC1A7,GRIN2D
2457,SLC1A7,GRM1
2458,SLC1A7,GRM2
2459,SLC1A7,GRM3
2460,SLC1A7,GRM4
2461,SLC1A7,GRM5
2462,SLC1A7,GRM6
2463,SLC1A7,GRM7
2464,SLC1A7,GRM8
2465,GLS2,GRIA1
2466,GLS2,GRIA2
2467,GLS2,GRIA3
2468,GLS2,GRIA4
2469,GLS2,GRIK1
2470,GLS2,GRIK4
2471,GLS2,GRIK5
2472,GLS2,GRIK2
2473,GLS2,GRIK3
2474,GLS2,GRIN1
2475,GLS2,GRIN2A
2476,GLS2,GRIN2B
2477,GLS2,GRIN2C
2478,GLS2,GRIN2D
2479,GLS2,GRM1
2480,GLS2,GRM2
2481,GLS2,GRM3
2482,GLS2,GRM4
2483,GLS2,GRM5
2484,GLS2,GRM6
2485,GLS2,GRM7
2486,GLS2,GRM8
2487,SHMT1,GLRA1
2488,SHMT1,GLRB
2489,SLC6A5,GLRA1
2490,SLC6A5,GLRB
2491,SHMT1,GLRA2
2492,SLC6A5,GLRA2
2493,SLC6A9,GLRA1
2494,SLC6A9,GLRB
2495,SLC6A9,GLRA2
2496,SHMT2,GLRA1
2497,SHMT2,GLRB
2498,SHMT2,GLRA2
2499,MSTN,ACVR2A
2500,GHRH,GHRHR
2501,GHRL,GHRHR
2502,GHRL,GHSR
2503,GHRL,GPR39
2504,HDC,HRH1
2505,HDC,HRH2
2506,HDC,HRH3
2507,HDC,HRH4
2508,HLA-E,KLRC3
2509,HLA-E,KLRK1
2510,MT-RNR2,FPR2
2511,MT-RNR2,FPR3
2512,IHH,BOC
2513,IHH,CDON
2514,IHH,GAS1
2515,INHBA,ACVR1
2516,INHBB,ACVR1
2517,INSL3,RXFP2
2518,INSL5,RXFP4
2519,IGF1,GPC3
2520,IGF1,ITGA6
2521,IGF1,ITGB4
2522,IGF1,ITGAV
2523,IGF1,ITGB3
2524,IGFBP3,TMEM219
2525,IGFL1,IGFLR1
2526,IGFL2,IGFLR1
2527,IGFL3,IGFLR1
2528,IL1F10,IL1RAP
2529,IL1RN,IL1RAP
2530,IL25,IL17RA
2531,IL36RN,IL1RAP
2532,IL4,IL13RA1
2533,RAET1G,HCST
2534,RAET1G,KLRK1
2535,RAET1L,HCST
2536,RAET1L,KLRK1
2537,KNG1,BDKRB1
2538,KNG1,BDKRB2
2539,KNG1,RXFP4
2540,LEFTY1,TDGF1
2541,LEFTY2,TDGF1
2542,LRRC4B,PTPRD
2543,LRRC4B,PTPRF
2544,LRRC4B,PTPRS
2545,LRRC4C,PTPRF
2546,LRRTM1,NRXN1
2547,LRRTM1,NRXN2
2548,LRRTM1,NRXN3
2549,LRRTM2,NRXN1
2550,LRRTM2,NRXN2
2551,LRRTM2,NRXN3
2552,LRRTM3,NRXN1
2553,LRRTM3,NRXN2
2554,LRRTM3,NRXN3
2555,LRRTM4,NRXN1
2556,LRRTM4,NRXN2
2557,LRRTM4,NRXN3
2558,LRRTM4,PTPRS
2559,NCAM1,AGRN
2560,DPEP1,CYSLTR1
2561,DPEP1,CYSLTR2
2562,DPEP2,CYSLTR1
2563,DPEP2,CYSLTR2
2564,DPEP3,CYSLTR1
2565,DPEP3,CYSLTR2
2566,GGT1,CYSLTR1
2567,GGT1,CYSLTR2
2568,GGT5,CYSLTR1
2569,GGT5,CYSLTR2
2570,GGT1,GPR17
2571,GGT5,GPR17
2572,LTA4H,GPR17
2573,LTA4H,LTB4R
2574,LTA4H,LTB4R2
2575,LTC4S,CYSLTR1
2576,LTC4S,CYSLTR2
2577,PTGR1,LTB4R
2578,PTGR1,LTB4R2
2579,ALOX12,CYSLTR1
2580,ALOX12,FPR2
2581,ALOX5,CYSLTR1
2582,ALOX5AP,CYSLTR1
2583,ALOX5,CYSLTR2
2584,ALOX5AP,CYSLTR2
2585,ALOX5,FPR2
2586,ALOX5AP,FPR2
2587,LTC4S,FPR2
2588,ALOX5,GPR17
2589,ALOX5AP,GPR17
2590,LTC4S,GPR17
2591,ALOX5,OXER1
2592,ALOX5AP,OXER1
2593,LTC4S,OXER1
2594,ASMT,MTNR1A
2595,ASMT,MTNR1B
2596,MDK,PTPRZ1
2597,AMH,BMPR1B
2598,NTN1,DSCAM
2599,NTN1,UNC5A
2600,NTN1,UNC5B
2601,NTN4,NTRK2
2602,NTN4,UNC5B
2603,NTN4,UNC5D
2604,NRG1,ITGA6
2605,NRG1,ITGB4
2606,NLGN1,NRXN2
2607,NLGN1,NRXN3
2608,NLGN2,NRXN1
2609,NLGN2,NRXN2
2610,NLGN2,NRXN3
2611,NLGN3,NRXN1
2612,NLGN3,NRXN2
2613,NLGN3,NRXN3
2614,NLGN3,PTPRD
2615,NLGN4X,NRXN1
2616,NLGN4X,NRXN2
2617,NLGN4X,NRXN3
2618,NLGN4Y,NRXN1
2619,NLGN4Y,NRXN2
2620,NMS,NMUR1
2621,NMS,NMUR2
2622,NMU,NMUR1
2623,NMU,NMUR2
2624,NPB,NPBWR1
2625,NPB,NPBWR2
2626,NPFF,NPFFR1
2627,NPFF,NPFFR2
2628,NPPA,NPR1
2629,NPS,NPSR1
2630,NPW,NPBWR1
2631,NPW,NPBWR2
2632,NTS,NTSR1
2633,NTS,NTSR2
2634,NTS,SORT1
2635,NTF3,NGFR
2636,NTF3,NTRK1
2637,NTF3,NTRK2
2638,NTF3,NTRK3
2639,NTF4,NGFR
2640,NTF4,NTRK2
2641,NODAL,CFC1
2642,NODAL,TDGF1
2643,DBH,ADRA1A
2644,DBH,ADRA1B
2645,DBH,ADRA1D
2646,DBH,ADRA2A
2647,DBH,ADRA2B
2648,DBH,ADRA2C
2649,DBH,ADRB1
2650,DBH,ADRB2
2651,DBH,ADRB3
2652,SLC6A2,ADRA1A
2653,SLC6A2,ADRA1B
2654,SLC6A2,ADRA1D
2655,SLC6A2,ADRA2A
2656,SLC6A2,ADRA2B
2657,SLC6A2,ADRA2C
2658,SLC6A2,ADRB1
2659,SLC6A2,ADRB2
2660,SLC6A2,ADRB3
2661,PDYN,OPRD1
2662,PDYN,OPRK1
2663,PDYN,OPRM1
2664,PENK,OPRD1
2665,PENK,OPRK1
2666,PENK,OPRM1
2667,PNOC,OPRL1
2668,HCRT,HCRTR1
2669,HCRT,HCRTR2
2670,PTH2,PTH1R
2671,PTH2,PTH2R
2672,PTHLH,PRLHR
2673,PDGFD,PDGFRA
2674,POMC,MC1R
2675,GCG,GCGR
2676,GCG,GLP1R
2677,GCG,GLP2R
2678,PMCH,MCHR1
2679,PMCH,MCHR2
2680,NPY,NPY1R
2681,NPY,NPY2R
2682,NPY,NPY4R
2683,NPY,NPY5R
2684,NPY,PRLHR
2685,HSD3B1,CATSPER1
2686,HSD3B1,CATSPERB
2687,HSD3B1,CATSPERD
2688,HSD3B1,CATSPER2
2689,HSD3B1,CATSPER3
2690,HSD3B1,CATSPER4
2691,HSD3B1,PGR
2692,GNRH1,GNRHR
2693,GNRH1,GNRHR2
2694,GNRH2,GNRHR
2695,GNRH2,GNRHR2
2696,PROK1,PROKR1
2697,PROK1,PROKR2
2698,PROK2,PROKR1
2699,PROK2,PROKR2
2700,PRLH,PRLHR
2701,POMC,MC2R
2702,POMC,MC3R
2703,POMC,MC4R
2704,POMC,MC5R
2705,POMC,OPRD1
2706,POMC,OPRK1
2707,POMC,OPRM1
2708,RLN1,RXFP1
2709,RLN1,RXFP2
2710,RLN1,RXFP3
2711,RLN2,RXFP1
2712,RLN2,RXFP2
2713,RLN2,RXFP3
2714,RLN3,RXFP1
2715,RLN3,RXFP2
2716,RLN3,RXFP3
2717,RLN3,RXFP4
2718,AKR1B1,PTGFR
2719,AKR1C3,PTGDR
2720,AKR1C3,PTGDR2
2721,AKR1C3,PTGFR
2722,CBR1,PTGFR
2723,PTGDS,PTGDR
2724,PTGDS,PTGDR2
2725,PTGES,PTGER1
2726,PTGES,PTGER2
2727,PTGES,PTGER3
2728,PTGES,PTGER4
2729,PTGES2,PTGER1
2730,PTGES2,PTGER2
2731,PTGES2,PTGER3
2732,PTGES2,PTGER4
2733,PTGES3,PTGER1
2734,PTGES3,PTGER2
2735,PTGES3,PTGER3
2736,PTGES3,PTGER4
2737,PPY,NPY1R
2738,PPY,NPY2R
2739,PPY,NPY4R
2740,PPY,NPY5R
2741,PYY,NPY1R
2742,PYY,NPY2R
2743,PYY,NPY4R
2744,PYY,NPY5R
2745,RSPO1,FZD8
2746,ALDH1A1,CRABP2
2747,ALDH1A1,RARA
2748,ALDH1A1,RXRA
2749,ALDH1A1,RARB
2750,ALDH1A1,RXRB
2751,ALDH1A1,RARG
2752,ALDH1A1,RXRG
2753,ALDH1A1,RORB
2754,ALDH1A2,CRABP2
2755,ALDH1A2,RARA
2756,ALDH1A2,RXRA
2757,ALDH1A2,RARB
2758,ALDH1A2,RXRB
2759,ALDH1A2,RARG
2760,ALDH1A2,RXRG
2761,ALDH1A2,RORB
2762,ALDH1A3,CRABP2
2763,ALDH1A3,RARA
2764,ALDH1A3,RXRA
2765,ALDH1A3,RARB
2766,ALDH1A3,RXRB
2767,ALDH1A3,RARG
2768,ALDH1A3,RXRG
2769,ALDH1A3,RORB
2770,SOSTDC1,LRP5
2771,SOSTDC1,LRP6
2772,SCT,SCTR
2773,SCT,VIPR1
2774,SCT,VIPR2
2775,SELE,GLG1
2776,SEMA4G,PLXNB2
2777,SEMA6D,TREM2
2778,SEMA6D,TYROBP
2779,SLC18A1,HTR1A
2780,TPH1,HTR1A
2781,SLC18A1,HTR1B
2782,TPH1,HTR1B
2783,SLC18A1,HTR1D
2784,TPH1,HTR1D
2785,SLC18A1,HTR1E
2786,TPH1,HTR1E
2787,SLC18A1,HTR1F
2788,TPH1,HTR1F
2789,SLC18A1,HTR2A
2790,TPH1,HTR2A
2791,SLC18A1,HTR2B
2792,TPH1,HTR2B
2793,SLC18A1,HTR2C
2794,TPH1,HTR2C
2795,SLC18A1,HTR3A
2796,SLC18A1,HTR3B
2797,SLC18A1,HTR3C
2798,SLC18A1,HTR3D
2799,SLC18A1,HTR3E
2800,TPH1,HTR3A
2801,TPH1,HTR3B
2802,TPH1,HTR3C
2803,TPH1,HTR3D
2804,TPH1,HTR3E
2805,SLC18A1,HTR4
2806,TPH1,HTR4
2807,SLC18A1,HTR5A
2808,TPH1,HTR5A
2809,SLC18A1,HTR6
2810,TPH1,HTR6
2811,SLC18A1,HTR7
2812,TPH1,HTR7
2813,TPH2,HTR1A
2814,TPH2,HTR1B
2815,TPH2,HTR1D
2816,TPH2,HTR1E
2817,TPH2,HTR1F
2818,TPH2,HTR2A
2819,TPH2,HTR2B
2820,TPH2,HTR2C
2821,TPH2,HTR3A
2822,TPH2,HTR3B
2823,TPH2,HTR3C
2824,TPH2,HTR3D
2825,TPH2,HTR3E
2826,TPH2,HTR4
2827,TPH2,HTR5A
2828,TPH2,HTR6
2829,TPH2,HTR7
2830,SLC18A2,HTR1A
2831,SLC18A2,HTR1B
2832,SLC18A2,HTR1D
2833,SLC18A2,HTR1E
2834,SLC18A2,HTR1F
2835,SLC18A2,HTR2A
2836,SLC18A2,HTR2B
2837,SLC18A2,HTR2C
2838,SLC18A2,HTR3A
2839,SLC18A2,HTR3B
2840,SLC18A2,HTR3C
2841,SLC18A2,HTR3D
2842,SLC18A2,HTR3E
2843,SLC18A2,HTR4
2844,SLC18A2,HTR5A
2845,SLC18A2,HTR6
2846,SLC18A2,HTR7
2847,SLC6A4,HTR1A
2848,SLC6A4,HTR1B
2849,SLC6A4,HTR1D
2850,SLC6A4,HTR1E
2851,SLC6A4,HTR1F
2852,SLC6A4,HTR2A
2853,SLC6A4,HTR2B
2854,SLC6A4,HTR2C
2855,SLC6A4,HTR3A
2856,SLC6A4,HTR3B
2857,SLC6A4,HTR3C
2858,SLC6A4,HTR3D
2859,SLC6A4,HTR3E
2860,SLC6A4,HTR4
2861,SLC6A4,HTR5A
2862,SLC6A4,HTR6
2863,SLC6A4,HTR7
2864,DDC,DRD1
2865,DDC,DRD2
2866,DDC,DRD3
2867,DDC,DRD4
2868,DDC,DRD5
2869,DDC,HTR1A
2870,DDC,HTR1B
2871,DDC,HTR1D
2872,DDC,HTR1E
2873,DDC,HTR1F
2874,DDC,HTR2A
2875,DDC,HTR2B
2876,DDC,HTR2C
2877,DDC,HTR3A
2878,DDC,HTR3B
2879,DDC,HTR3C
2880,DDC,HTR3D
2881,DDC,HTR3E
2882,DDC,HTR4
2883,DDC,HTR5A
2884,DDC,HTR6
2885,DDC,HTR7
2886,DDC,TAAR1
2887,SLC18A1,DRD1
2888,SLC18A1,DRD2
2889,SLC18A1,DRD3
2890,SLC18A1,DRD4
2891,SLC18A1,DRD5
2892,SLC18A2,DRD1
2893,SLC18A2,DRD2
2894,SLC18A2,DRD3
2895,SLC18A2,DRD4
2896,SLC18A2,DRD5
2897,SLC6A3,DRD1
2898,SLC6A3,DRD2
2899,SLC6A3,DRD3
2900,SLC6A3,DRD4
2901,SLC6A3,DRD5
2902,SLITRK1,PTPRD
2903,SLITRK1,PTPRS
2904,SLITRK2,PTPRD
2905,SLITRK2,PTPRS
2906,SLITRK3,PTPRD
2907,SLITRK4,PTPRS
2908,SLITRK5,PTPRS
2909,SLITRK6,PTPRS
2910,SLIT2,ROBO1
2911,SLIT2,ROBO2
2912,CORT,SSTR1
2913,CORT,SSTR2
2914,CORT,SSTR3
2915,CORT,SSTR4
2916,CORT,SSTR5
2917,SST,SSTR1
2918,SST,SSTR2
2919,SST,SSTR3
2920,SST,SSTR4
2921,SST,SSTR5
2922,SHH,BOC
2923,SHH,PTCH2
2924,SHH,CDON
2925,SHH,GAS1
2926,SPX,GPR151
2927,TAC1,TACR1
2928,TAC1,TACR2
2929,TAC1,TACR3
2930,TAC3,TACR1
2931,TAC3,TACR2
2932,TAC3,TACR3
2933,TAFA1,GPR1
2934,TAFA4,FPR1
2935,TAFA5,FPR2
2936,TAFA5,S1PR2
2937,AKR1D1,AR
2938,THBS1,CD36
2939,THBS2,CD36
2940,TAX1BP3,ADGRB1
2941,TBXAS1,TBXA2R
2942,TF,TFR2
2943,TF,TFRC
2944,TGFB1,ITGAV
2945,TGFB1,ITGB6
2946,TGFB1,TGFBR3
2947,TGFB2,TGFBR3
2948,TGFB3,ITGAV
2949,TGFB3,ITGB6
2950,TGFB3,ITGB8
2951,TGFB3,TGFBR3
2952,DIO3,THRA
2953,TG,THRA
2954,DIO3,THRB
2955,TG,THRB
